SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAME,POINT_X,Longitude,Latitude,LEDSIGN,ADA,
14835,,16TH STREET,KEDZIE,EB,FS,18,,CHICAGO,In Service,16th Street & Kedzie,-87.705241,41.859042,Point,1,1
12141,,103RD STREET,LEAVITT,EB,NS,103,,CHICAGO,In Service,103rd Street & Leavitt,-87.67688,41.7064,Point,0,1
6684,,TAYLOR,OAKLEY,EB,NS,157,,CHICAGO,In Service,Taylor & Oakley,-87.683766,41.868938,Point,0,1
10948,,75TH STREET,STONY ISLAND,EB,NS,75,,CHICAGO,In Service,75th Street & Stony Island,-87.586294,41.758692,Point,0,1
7684,,35TH STREET,MICHIGAN,EB,NS,35,,CHICAGO,In Service,35th Street & Michigan,-87.62343,41.830975,Point,0,1
263,,ROOSEVELT,49TH AVENUE,EB,NS,12,,CICERO,In Service,Roosevelt & 49th Avenue,-87.747327,41.865788,Point,0,1
2949,,115TH STREET,WENTWORTH,EB,NS,115,,CHICAGO,In Service,115th Street & Wentworth,-87.627766,41.685171,Point,0,1
111,,DAMEN,JACKSON,NB,NS,50,,CHICAGO,In Service,Damen & Jackson,-87.676351,41.877409,Point,1,1
2510,,COTTAGE GROVE,48TH STREET,NB,NS,4,N4,CHICAGO,In Service,Cottage Grove & 48th Street,-87.606432,41.807588,Point,0,0
17660,,SOUTH CHICAGO,INGLESIDE,SEB,FT,30,,CHICAGO,In Service,South Chicago & Ingleside,-87.602284,41.763365,Point,0,1
17661,,79TH STREET,PHILLIPS,EB,FS,79,N79,CHICAGO,In Service,79th Street & Phillips,-87.564852,41.751708,Point,0,1
17662,,79TH STREET,PHILLIPS,WB,NS,79,N79,CHICAGO,In Service,79th Street & Phillips,-87.564938,41.751824,Point,0,1
14979,,JACKSON,HOMAN,EB,FS,126,,CHICAGO,In Service,Jackson & Homan,-87.710647,41.877208,Point,1,1
6306,,26TH STREET,KEELER,EB,NS,60,N60,CHICAGO,In Service,26th Street & Keeler,-87.729519,41.844118,Point,1,1
9554,,GUNNISON,MEADE,EB,MT,81W,,CHICAGO,In Service,Gunnison & Meade,-87.780703,41.96841,Point,0,1
3394,,63RD STREET,SPAULDING,EB,NS,63,N63,CHICAGO,In Service,63rd Street & Spaulding,-87.705626,41.778863,Point,0,1
5427,,BROADWAY,ARDMORE,NB,FS,36,,CHICAGO,In Service,Broadway & Ardmore,-87.660102,41.987433,Point,1,1
15793,,ASHLAND,POLK,NB,FS,9,N9,CHICAGO,In Service,Ashland & Polk,-87.666386,41.871915,Point,0,1
857,,NORTH AVENUE,TAYLOR,EB,NS,72,,OAK PARK,In Service,North Ave & Taylor,-87.778207,41.909193,Point,0,1
4553,,55TH STREET,MERRIMAC,EB,NS,55N,,CHICAGO,In Service,55th Street & Merrimac,-87.778257,41.792352,Point,0,1
2791,,79TH STREET,KENWOOD,EB,NS,79,N79,CHICAGO,In Service,79th Street & Kenwood,-87.591935,41.751367,Point,0,1
2944,,115TH STREET,UNION (west leg),EB,NS,115,,CHICAGO,In Service,115th Street & Union,-87.640507,41.685044,Point,0,0
691,,GRAND,LAMON,EB,NT,65,,CHICAGO,In Service,Grand & Lamon,-87.749456,41.915224,Point,0,1
3356,,65TH STREET,NORMANDY,EB,NT,165,,BEDFORD PARK,In Service,65th Street & Normandy,-87.788453,41.773792,Point,0,1
11031,,DIVERSEY,ORCHARD,EB,FS,76,,CHICAGO,In Service,Diversey & Orchard,-87.646409,41.932715,Point,0,1
1736,,DEVON,HERMITAGE,EB,NS,155,,CHICAGO,In Service,Devon & Hermitage,-87.673593,41.997954,Point,0,1
8177,,47TH STREET,FEDERAL (west leg),EB,FS,47,,CHICAGO,In Service,47th Street & Federal,-87.628418,41.809123,Point,0,1
59,,JACKSON,RACINE,EB,FS,126,,CHICAGO,In Service,Jackson & Racine,-87.656779,41.877729,Point,0,1
15484,,NORTH AVENUE,LAMON,EB,FT,72,,CHICAGO,In Service,North Ave & Lamon,-87.748976,41.909484,Point,0,1
10524,,GARFIELD,DAMEN,EB,FS,55,N55,CHICAGO,In Service,Garfield & Damen,-87.673988,41.793501,Point,1,1
12530,,ADDISON,HOYNE,EB,NS,152,,CHICAGO,In Service,Addison & Hoyne,-87.681059,41.946764,Point,1,1
5596,,IRVING PARK,PANAMA,EB,NS,80,,CHICAGO,In Service,Irving Park & Panama,-87.82944,41.95216,Point,0,0
6762,,18TH STREET,PAULINA,EB,NS,18,,CHICAGO,In Service,18th Street & Paulina (Pink Line),-87.668751,41.857704,Point,0,1
3755,,LAWRENCE,CAMPBELL,EB,NS,81,N81,CHICAGO,In Service,Lawrence & Campbell,-87.691488,41.9685,Point,0,1
14130,,WESTERN,ORANGE LINE STATION,SB,TERM,94,N9,CHICAGO,In Service,Western Orange Line Station,-87.68402,41.805145,Point,0,1
6486,,WENTWORTH,24TH STREET,NB,NS,24,,CHICAGO,In Service,Wentworth & 24th Street,-87.63184,41.848993,Point,0,1
6730,,WEBSTER,ORCHARD,WB,NS,37,,CHICAGO,In Service,Webster & Orchard,-87.646106,41.921926,Point,0,0
6464,,WENTWORTH,5400 SOUTH driveway,NB,NS,24,,CHICAGO,In Service,5400 S Wentworth,-87.63051,41.796247,Point,0,1
14008,,95TH STREET,RED LINE STATION,SB,TERM,108,,CHICAGO,In Service,95th Red Line Station,-87.623935,41.722115,Point,0,1
4445,,ARCHER,THROOP,NEB,NS,62,N62,CHICAGO,In Service,Archer & Throop,-87.65412,41.84344,Point,0,1
6458,,WENTWORTH,59TH STREET,NB,NS,24,,CHICAGO,In Service,Wentworth & 59th Street,-87.630263,41.7871,Point,0,1
17351,,79TH STREET,WOOD,WB,FS,79,N79,CHICAGO,In Service,79th Street & Wood,-87.668477,41.750363,Point,0,1
17356,,ADDISON,NARRAGANSETT,WB,FS,152,,CHICAGO,In Service,Addison & Narragansett,-87.786659,41.945724,Point,0,1
17357,,ADDISON,HARLEM,WB,FS,152,,CHICAGO,In Service,Addison & Harlem,-87.807315,41.945324,Point,0,1
17369,,111TH STREET,HALSTED,WB,FS,111,,CHICAGO,In Service,111th Street & Halsted,-87.642734,41.692408,Point,1,1
12528,,ADDISON,OAKLEY,EB,NS,152,,CHICAGO,In Service,Addison & Oakley,-87.685928,41.946712,Point,0,0
9418,,87TH STREET,LANGLEY,EB,NS,87,,CHICAGO,In Service,87th Street & Langley,-87.607331,41.736545,Point,0,1
9973,,KEDZIE,104TH STREET,NB,NS,52A,,CHICAGO,In Service,Kedzie & 104th Street,-87.701204,41.704265,Point,0,1
8919,,DAMEN,HURON,NB,NS,50,,CHICAGO,In Service,Damen & Huron,-87.676904,41.894021,Point,0,1
2273,,STATE,89TH STREET,NB,NS,29,,CHICAGO,In Service,State & 89th Street,-87.623973,41.732608,Point,0,1
