X,Y,gid,Name,description,ASSET_ID,SHAPE.LEN,OBJECTID_1,DESCRIPTIO,LINES,ALT_LEGEND,BRANCH,TYPE,LEGEND,Field_1
-87.6805917862022,42.0370775386332,14,Purple Line,,21100014,3046.418334,14,Dempster to Main,Purple Line,PR,Purple Line Evanston,Elevated or at Grade,PR,Purple Line
-87.6776369147283,42.023765983532,15,Purple Line,,21100015,3636.173191,15,Main to South Blvd.,Purple Line,PR,Purple Line Evanston,Elevated or at Grade,PR,Purple Line
-87.6711040525697,42.0175878936702,17,"Red, Purple Line",,21100017,1554.328668,17,Howard to Jarvis,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6328789276016,41.885730139649,18,"Brown, Green, Orange, Pink, Purple (Exp)",,21100018,824.344719,18,Tower 18 to Clark/Lake,"Brown, Green, Orange, Pink, Purple (Exp)",L4,Loop Elevated,Elevated or at Grade,ML,"Brown, Green, Orange, Pink, Purple (Exp)"
-87.6293312294125,41.879266537425,19,Blue Line (O'Hare),,21100019,918.931888,19,Monroe to Jackson,Blue Line (O'Hare),BL,Blue Line Dearborn Subway,Subway,BL,Blue Line (O'Hare)
-87.6592618515829,41.9973670814212,20,"Red, Purple Line",,21100020,2830.409345,20,Loyola to Granville,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6589284688603,41.9860517564207,21,"Red, Purple Line",,21100021,2462.586818,21,Thorndale to Bryn Mawr,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6587712595269,41.9812184516594,22,"Red, Purple Line",,21100022,2012.213002,22,Bryn Mawr to Berwyn,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6586281751197,41.9766059929323,23,"Red, Purple Line",,21100023,1651.480114,23,Berwyn to Argyle,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.7989360228157,41.8727369675443,24,Blue Line (Forest Park),,21100024,4213.413662,24,Harlem to Oak Park,Blue Line (Forest Park),BL,Blue Line Forest Park,Elevated or at Grade,BL,Blue Line (Forest Park)
-87.6835087000271,42.0503265309106,25,Purple Line,,21100025,2351.054868,25,Foster to Davis,Purple Line,PR,Purple Line Evanston,Elevated or at Grade,PR,Purple Line
-87.6355877311433,41.8929386675375,27,"Brown, Purple",,21100027,3099.66423,27,Chicago to Merchandise Mart,"Brown, Purple",BRPR,Brown Line,Elevated or at Grade,BR,"Brown, Purple"
-87.6431157246199,41.9063237713046,29,Red Line,,21100029,5829.10163,29,North/Clybourn to Clark/Division,Red Line,RD,Red Line North Side,Subway,RD,Red Line
-87.6525790822077,41.916402570706,30,"Brown, Purple (Express), Red",,21100030,1515.433139,30,Armitage to Subway Portal,"Brown, Purple (Express), Red",RPB,Red Line North Side,Elevated or at Grade,RD,"Brown, Purple (Express), Red"
-87.6337132140425,41.8779922677163,32,"Brown, Orange, Pink, Purple (Express)",,21100032,1179.726352,32,LaSalle/Van Buren to Quincy/Wells,"Brown, Orange, Pink, Purple (Express)",L3,Loop Elevated,Elevated or at Grade,ML,"Brown, Orange, Pink, Purple (Express)"
-87.6338137403051,41.8807902423439,33,"Brown, Orange, Pink, Purple (Express)",,21100033,1447.786167,33,Quincy/Wells to Washington/Wells,"Brown, Orange, Pink, Purple (Express)",L3,Loop Elevated,Elevated or at Grade,ML,"Brown, Orange, Pink, Purple (Express)"
-87.6304933976713,41.8768707364523,34,"Brown, Orange, Pink, Purple (Express)",,21100034,960.148799,34,Library to LaSalle/Van Buren,"Brown, Orange, Pink, Purple (Express)",L3,Loop Elevated,Elevated or at Grade,ML,"Brown, Orange, Pink, Purple (Express)"
-87.6260858075358,41.8768432550998,35,"Brown, Orange, Pink, Purple (Express)",,21100035,647.792996,35,Tower 12 to Library,"Brown, Orange, Pink, Purple (Express)",L3,Loop Elevated,Elevated or at Grade,ML,"Brown, Orange, Pink, Purple (Express)"
-87.6518799264626,41.9125945705894,36,Red Line,,21100036,1620.928756,36,Subway Portal to North/Clybourn,Red Line,RD,Red Line North Side,Subway,RD,Red Line
-87.6505472432985,41.9123156139899,37,"Brown, Purple",,21100037,4303.7948,37,Subway Portal to Sedgwick,"Brown, Purple",BRPR,Brown Line,Elevated or at Grade,BR,"Brown, Purple"
-87.6283226447483,41.9011909549515,38,Red Line,,21100038,3370.113075,38,Clark/Division to Chicago,Red Line,RD,Red Line North Side,Subway,RD,Red Line
-87.6787350999598,42.0297719244329,39,Purple Line,,21100039,2155.039357,39,South Blvd. to Howard,Purple Line,PR,Purple Line Evanston,Elevated or at Grade,PR,Purple Line
-87.6660346922502,42.0120504792539,40,"Red, Purple Line",,21100040,3001.497794,40,Jarvis to Morse,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6339645038911,41.8880186090077,42,"Brown, Purple",,21100042,1182.089168,42,Merchandise Mart to Tower 18,"Brown, Purple",BRPR,Brown Line,Elevated or at Grade,BR,"Brown, Purple"
-87.6261270356418,41.8807705569751,43,"Brown, Green, Orange, Pink, Purple (Exp)",,21100043,1794.931419,43,Randolph/Wabash to Adams/Wabash,"Brown, Green, Orange, Pink, Purple (Exp)",L4,Loop Elevated,Elevated or at Grade,ML,"Brown, Green, Orange, Pink, Purple (Exp)"
-87.6338712972447,41.8835503194958,44,"Brown, Orange, Pink, Purple (Express)",,21100045,1104.10749,45,Washington/Wells to Tower 18,"Brown, Orange, Pink, Purple (Express)",L3,Loop Elevated,Elevated or at Grade,ML,"Brown, Orange, Pink, Purple (Express)"
-87.6294090855545,41.8816739035079,45,Blue Line (O'Hare),,21100046,896.981974,46,Washington to Monroe,Blue Line (O'Hare),BL,Blue Line Dearborn Subway,Subway,BL,Blue Line (O'Hare)
-87.6294528246761,41.8842667654209,47,Blue Line (O'Hare),,21100048,1285.128478,48,Clark/Lake to Washington,Blue Line (O'Hare),BL,Blue Line Dearborn Subway,Subway,BL,Blue Line (O'Hare)
-87.66539840535,42.0049574819845,48,"Red, Purple Line",,21100049,3131.410698,49,Morse to Loyola,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.659105633792,41.9915924486433,49,"Red, Purple Line",,21100050,1241.32336,50,Granville to Thorndale,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6585090888106,41.9723166467164,50,"Red, Purple Line",,21100051,1572.309086,51,Argyle to Lawrence,"Red, Purple Line",RDPR,Red Line North Side,Elevated or at Grade,RD,"Red, Purple Line"
-87.6295854219711,41.8857389351348,51,"Brown, Green, Orange, Pink, Purple (Exp)",,21100052,830.774617,52,Clark/Lake to State/Lake,"Brown, Green, Orange, Pink, Purple (Exp)",L4,Loop Elevated,Elevated or at Grade,ML,"Brown, Green, Orange, Pink, Purple (Exp)"
-87.6276462784779,41.8794486557601,52,Red Line,,21100053,944.877861,53,Monroe to Jackson,Red Line,RD,Red Line State Street Subway,Subway,RD,Red Line
-87.6275545711957,41.8763997215719,53,Red Line,,21100054,1499.381498,54,Jackson to Harrison,Red Line,RD,Red Line State Street Subway,Subway,RD,Red Line
-87.6279621499721,41.8887405477255,54,Red Line,,21100055,2499.421218,55,Grand to Lake,Red Line,RD,Red Line North Side,Subway,RD,Red Line
-87.6277808739237,41.8840117858519,55,Red Line,,21100056,581.200877,56,Lake to Washington,Red Line,RD,Red Line State Street Subway,Subway,RD,Red Line
-87.6277224129909,41.8819796309763,56,Red Line,,21100057,900.261975,57,Washington to Monroe,Red Line,RD,Red Line State Street Subway,Subway,RD,Red Line
-87.7751409903857,41.8707849597436,57,Blue Line (Forest Park),,21100059,8734.717418,58,Austin to Cicero,Blue Line (Forest Park),BL,Blue Line Forest Park,Elevated or at Grade,BL,Blue Line (Forest Park)
-87.7366718189534,41.8726505676505,58,Blue Line (Forest Park),,21100060,5492.1629,59,Cicero to Pulaski,Blue Line (Forest Park),BL,Blue Line Forest Park,Elevated or at Grade,BL,Blue Line (Forest Park)
-87.7080555672383,41.8741537807408,59,Blue Line (Forest Park),,21100061,5361.25483,60,Pulaski to Kedzie-Homan,Blue Line (Forest Park),BL,Blue Line Forest Park,Elevated or at Grade,BL,Blue Line (Forest Park)
-87.6708090145853,41.8756946774228,61,Blue Line (Forest Park),,21100063,1747.724579,62,Medical District to Loomis Junction,Blue Line (Forest Park),BL,Blue Line Forest Park,Elevated or at Grade,BL,Blue Line (Forest Park)
-87.7027039242859,41.8749044977972,62,Blue Line (Forest Park),,21100064,4809.553829,63,Kedzie-Homan to Western,Blue Line (Forest Park),BL,Blue Line Forest Park,Elevated or at Grade,BL,Blue Line (Forest Park)
-87.7131286053812,41.9672974091558,63,Brown Line,,21100065,1790.394624,64,Kimball to Kedzie,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.7052212666764,41.9661247637696,64,Brown Line,,21100066,1955.021568,65,Kedzie to Francisco,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.6983104125524,41.9661713172289,65,Brown Line,,21100067,2052.12702,66,Francisco to Rockwell,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.6914615564422,41.9662308084008,66,Brown Line,,21100068,1525.429347,67,Rockwell to Western,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.6833500225857,41.966338904161,67,Brown Line,,21100069,2684.375274,68,Western to Damen,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.6751977179443,41.9640377772369,68,Brown Line,,21100070,2371.581222,69,Damen to Montrose,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.6750924737904,41.9593782196095,69,Brown Line,,21100071,2634.829319,70,Montrose to Irving Park,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.6746715886399,41.9455468645543,71,Brown Line,,21100073,2024.29659,72,Addison to Paulina,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.6684354466158,41.9437473973407,72,Brown Line,,21100074,1979.486224,73,Paulina to Southport,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.6537062046957,41.9429917710911,73,Brown Line,,21100075,3163.236496,74,Southport to Clark Junction,Brown Line,BR,Brown Line,Elevated or at Grade,BR,Brown Line
-87.6531668919365,41.9337844317246,74,"Brown, Purple (Express), Red",,21100076,1203.559705,75,Wellington to Diversey,"Brown, Purple (Express), Red",RPB,Red Line North Side,Elevated or at Grade,RD,"Brown, Purple (Express), Red"
-87.8181673571917,41.9833506227534,76,Blue Line (O'Hare),,21100079,8013.705605,77,Cumberland to Harlem,Blue Line (O'Hare),BL,Blue Line O'Hare,Elevated or at Grade,BL,Blue Line (O'Hare)
-87.7992762930673,41.8869155161603,77,Green Line,,21100080,2558.177858,78,Harlem to Oak Park,Green Line,GR,Green Line Lake Street,Elevated or at Grade,GR,Green Line
-87.7886267235324,41.8870730014485,78,Green Line,,21100081,2757.127017,79,Oak Park to Ridgeland,Green Line,GR,Green Line Lake Street,Elevated or at Grade,GR,Green Line
-87.6681898039402,41.8852770180917,147,"Green, Pink",,21100057,675.178295,150,Paulina Junction to Ashland,"Green, Pink",PKGR,Green Line Lake Street,Elevated or at Grade,ML,"Green, Pink"
-87.7709560596386,41.8873437979674,80,Green Line,,21100083,2311.091569,81,Austin to Central,Green Line,GR,Green Line Lake Street,Elevated or at Grade,GR,Green Line
-87.7563245315347,41.8873406509752,81,Green Line,,21100084,2916.164241,82,Central to Laramie,Green Line,GR,Green Line Lake Street,Elevated or at Grade,GR,Green Line
-87.749526305005,41.8868433841861,82,Green Line,,21100085,2811.631956,83,Laramie to Cicero,Green Line,GR,Green Line Lake Street,Elevated or at Grade,GR,Green Line
-87.7349488876679,41.8859576077761,83,Green Line,,21100086,5269.52024,84,Cicero to Pulaski,Green Line,GR,Green Line Lake Street,Elevated or at Grade,GR,Green Line
-87.7212123871537,41.8851763215805,84,Green Line,,21100087,2425.429819,85,Pulaski to Conservatory,Green Line,GR,Green Line Lake Street,Elevated or at Grade,GR,Green Line
-87.7115685072112,41.8846261854285,85,Green Line,,21100088,2831.178651,86,Conservatory to Kedzie,Green Line,GR,Green Line Lake Street,Elevated or at Grade,GR,Green Line
-87.6974662451987,41.8841522196965,86,Green Line,,21100089,2708.389477,87,Kedzie to California,Green Line,GR,Green Line Lake Street,Elevated or at Grade,GR,Green Line
-87.7157785641499,41.9426704294579,87,Blue Line (O'Hare),,21100093,4022.027064,88,Addison to Belmont,Blue Line (O'Hare),BL,Blue Line O'Hare,Elevated or at Grade,BL,Blue Line (O'Hare)
-87.6810369914137,41.8175683200261,122,Orange Line,,21100133,11059.722418,124,Western to 35th/Archer,Orange Line,OR,Orange Line,Elevated or at Grade,OR,Orange Line
-87.6599128518554,41.8854582465355,126,"Green, Pink",,21100091,4067.504972,128,Ashland to Morgan,"Green, Pink",PKGR,Green Line Lake Street,Elevated or at Grade,ML,"Green, Pink"
-87.9003631754087,41.9802257689967,135,Blue Line (O'Hare),,21100077,2195.064636,137,O'Hare to Subway Portal,Blue Line (O'Hare),BL,Blue Line O'Hare,Subway,BL,Blue Line (O'Hare)
-87.6491136457555,41.8856339112626,152,"Green, Pink",,21100091,2791.003171,642,Morgan to Clinton,"Green, Pink",PKGR,Green Line Lake Street,Elevated or at Grade,ML,"Green, Pink"
-87.6248949142416,41.741256597045,89,Red Line,,21100095,5482.439961,90,87th to 79th,Red Line,RD,Red Line Dan Ryan,Elevated or at Grade,RD,Red Line
-87.6256232471522,41.7605213642548,90,Red Line,,21100096,6546.792107,91,79th to 69th,Red Line,RD,Red Line Dan Ryan,Elevated or at Grade,RD,Red Line
-87.6267651535858,41.7745411205594,91,Red Line,,21100097,4848.194272,92,69th to 63rd,Red Line,RD,Red Line Dan Ryan,Elevated or at Grade,RD,Red Line
-87.6925952175515,41.9193518881765,97,Blue Line (O'Hare),,21100106,3340.726088,99,California to Western,Blue Line (O'Hare),BL,Blue Line O'Hare,Elevated or at Grade,BL,Blue Line (O'Hare)
-87.6511861054538,41.893500808453,93,Blue Line (O'Hare),,21100102,2737.490903,95,Chicago to Grand,Blue Line (O'Hare),BL,Blue Line O'Hare,Subway,BL,Blue Line (O'Hare)
-87.6603851634534,41.8994208650075,94,Blue Line (O'Hare),,21100103,4058.724845,96,Division to Chicago,Blue Line (O'Hare),BL,Blue Line O'Hare,Subway,BL,Blue Line (O'Hare)
-87.6723318115945,41.9064308545623,95,Blue Line (O'Hare),,21100104,3793.536263,97,Damen to Division,Blue Line (O'Hare),BL,Blue Line O'Hare,Elevated or at Grade,BL,Blue Line (O'Hare)
-87.6829553943221,41.9132986162545,96,Blue Line (O'Hare),,21100105,3572.813766,98,Western to Damen,Blue Line (O'Hare),BL,Blue Line O'Hare,Elevated or at Grade,BL,Blue Line (O'Hare)
-87.7122221607541,41.9334983879383,99,Blue Line (O'Hare),,21100108,3515.432605,101,Belmont to Logan Square,Blue Line (O'Hare),BL,Blue Line O'Hare,Subway,BL,Blue Line (O'Hare)
-87.7245217472317,41.950298951934,100,Blue Line (O'Hare),,21100109,3420.290652,102,Irving Park to Addison,Blue Line (O'Hare),BL,Blue Line O'Hare,Elevated or at Grade,BL,Blue Line (O'Hare)
