RCDT,Site Number,Site Name,Site Address,Site City,Site County,Site Zip,Zip 5,Free Eligibles,Reduced Eligibles,Free and Reduced,Enrollment,Eligibility Percent,Participates in CEP
150162990AI,60791,Acero Chtr Sch Network,209 W Jackson Blvd,Chicago,Cook,60606-6907,60606,7592,0,7592,7592,100%,X
150162990AJ,15145,Perspectives Chtr - Joslin Campus,1930 S Archer Ave,Chicago,Cook,60616-6505,60616,325,0,325,386,84.05%,X
150162990AJ,59054,Perspectives Chtr - Leadership Acad,8131 S May St Fl 3,Chicago,Cook,60620-3007,60620,301,0,301,301,100%,X
150162990AJ,59055,Perspectives Chtr -  Calumet Middle,8131 S May St,Chicago,Cook,60620-3007,60620,135,0,135,135,100%,X
150162990AJ,59056,Perspectives Chtr - High School of Technology,8131 S May St Fl 2,Chicago,Cook,60620-3007,60620,331,0,331,331,100%,X
150162990AJ,60914,Perspectives Chtr -  IIT Campus,3663 S Wabash Ave,Chicago,Cook,60653-1032,60653,459,0,459,459,100%,X
150162990AT,52752,Namaste Charter School Inc,3737 S Paulina St,Chicago,Cook,60609-2047,60609,346,43,389,504,77.18%,
150162990BE,66326,Polaris Elem Charter Academy,620 N Sawyer Ave,Chicago,Cook,60624-1528,60624,445,0,445,445,100%,X
150162990BO,69999,IHSCA Charter High School,2520 S Western Ave,Chicago,Cook,60608-4809,60608,702,37,739,750,98.53%,
150162990BS,70000,IJLA Charter High School,2520 S Western Ave,Chicago,Cook,60608-4817,60608,83,2,85,85,100%,
150162990BT,70123,Legal Prep Academy Charter HS,4319 W Washington Blvd,Chicago,Cook,60624-2232,60624,304,0,304,304,100%,
150162990BV,71862,Chicago Collegiate Charter School,11816 S Indiana Ave,Chicago,Cook,60628-6227,60628,365,0,365,390,93.47%,X
150162990BV,71862,Chicago Collegiate Charter School,11816 S Indiana Ave,Chicago,Cook,60628-6227,60628,390,0,390,390,100%,X
150162990BW,70315,Christopher House Chrt ES,5235 W Belden St,Chicago,Cook,60639-3001,60639,345,0,345,345,100%,X
15016375P00,11700,Childserv-Emergency Group Home,146 N Sleight St,Naperville,Dupage,60540-4740,60540,5,0,5,5,100%,
15016375P00,11701,ChildServ-Downers Grove Group Home,4936 Highland Ave,Downers Grove,Dupage,60515-3628,60515,4,0,4,4,100%,
15016375P00,11702,Childserv-Lisle Group Home,4603 Main St,Lisle,Dupage,60532-1219,60532,4,0,4,4,100%,
15016397X10,65378,Chicago Jesuit Academy,5058 W Jackson Blvd,Chicago,Cook,60644-4324,60644,123,0,123,154,79.44%,X
15016409S10,11711,Misericordia Mcauley Residence,2060 W Granville Ave,Chicago,Cook,60659-3097,60659,29,0,29,29,100%,
15016422P00,57712,Thresholds Young Adult Program,4219 N Lincoln Ave,Chicago,Cook,60618-2901,60618,36,0,36,36,100%,
15016463X10,11720,St Jerome School,2801 S Princeton Ave,Chicago,Cook,60616-2602,60616,23,0,23,148,15.54%,
15016472P00,11724,Cook Co Juvenile Detention Center,1100 S Hamilton Ave,Chicago,Cook,60612-4207,60612,480,0,480,480,100%,
15016571P00,64852,Rowe Elementary,1424 N Cleaver St,Chicago,Cook,60642-2331,60642,1005,0,1005,1005,100%,X
15016705X06,11762,Holy Family School,3415 W Arthington St,Chicago,Cook,60624-4104,60624,227,44,271,314,86.31%,
15016778Z14,64339,CS Academy,6014 S Racine Ave,Chicago,Cook,60636-1918,60636,60,0,60,60,100%,
15016778Z14,73490,CS Academy II,1443 W 63rd St,Chicago,Cook,60636-2353,60636,10,0,10,10,100%,
15016791Y05,60125,Lubavitch Mesivta of Chicago,2756 W Morse Ave,Chicago,Cook,60645-4519,60645,70,19,89,121,73.55%,
15016824Y05,62841,Lubavitch Girls High Sch,6350 N Whipple St,Chicago,Cook,60659-1420,60659,51,25,76,101,75.25%,
15016883S19,15093,Esperanza School,520 N Marshfield Ave,Chicago,Cook,60622-6731,60622,46,0,46,51,90.2%,
15016894X20,42730,Oakdale Christian Academy,9440 S Vincennes Ave,Chicago,Cook,60620-3680,60620,62,19,81,124,65.32%,
15016899S19,11796,Lawrence Hall Youth Services,4833 N Francisco Ave,Chicago,Cook,60625-3640,60625,86,0,86,86,100%,
15016900X03,11797,Chicago West Side Christian Sch,1240 S Pulaski Rd,Chicago,Cook,60623-1233,60623,86,16,102,164,62.2%,
15016924P00,61131,Village Leadership Academy,800 S Wells St Ste 90,Chicago,Cook,60607-4530,60607,191,0,191,191,100%,X
15016951P00,11605,Arie Crown Hebrew Day School,4600 Main St,Skokie,Cook,60076-2034,60076,65,26,91,686,13.27%,
15016951P00,67908,Cheder Lubavitch,5201 Howard St,Skokie,Cook,60077-2808,60077,101,5,106,147,72.11%,
15016951P00,71619,Yeshiva Ohr Boruch,2828 W Pratt Blvd,Chicago,Cook,60645-4314,60645,116,45,161,249,64.66%,
15016951P00,72284,Joan Dachs Bais Yaakov Yeshivas Tiferes Tzvi,6122 N California Ave,Chicago,Cook,60659-2616,60659,348,88,436,1062,41.05%,
15016951P00,72470,Cheder Lubavitch Hebrew Day Sch,2809 W Jarvis Ave,Chicago,Cook,60645-1205,60645,73,7,80,127,62.99%,
